verb,noun,count
buy,box,5
buy,shirt,2
buy,set,2
buy,dog,1
charge,fee,14
charge,rate,8
charge,fare,2
charge,price,1
contain,marble,7
contain,total,5
contain,pencil,4
contain,gallon,2
cost,dollar,4
cost,\$6$.,3
cost,apple,2
cost,price,2
fill,tank,15
fill,pool,6
fill,bottle,2
fill,vat,1
find,value,59
find,length,16
find,volume,15
find,area,15
give,-0.05x,2
give,box,2
give,v,1
give,mean,1
have,box,190
have,shelf,92
have,sale,87
have,length,60
hold,gallon,101
hold,liter,76
hold,centimeter,3
hold,maximum,2
make,batch,13
make,garden,6
make,type,4
make,cookie,4
offer,discount,14
offer,promotion,4
offer,type,4
offer,deal,3
paint,room,7
paint,wall,7
paint,garden,2
paint,color,1
plan,trip,164
plan,event,8
plan,project,7
plan,day,7
produce,type,30
produce,box,21
produce,product,10
produce,widget,6
represent,number,5
represent,quantity,5
represent,value,5
represent,curve,3
save,money,356
score,point,16
score,average,5
score,total,3
score,grade,1
sell,total,375
sell,loaf,289
sell,type,162
sell,cookie,43
surround,garden,11
surround,area,10
surround,flowerbed,3
surround,lawn,3
take,hour,15
take,minute,6
take,worker,2
take,exam,2
